,Unnamed: 0,Titr,URL,title,Date,text_file
10,10,Air Canada Completes Financing,https://www.newswire.ca/news-releases/air-canada-completes-financing-transactions-raising-additional-1-23-billion-856479812.html,Air Canada Completes Financing Transactions Raising Additional $1.23 Billion,"Jun 22, 2020, 16:18 ET",856479812.txt
11,11,Air Canada Celebrates Summer b,https://www.newswire.ca/news-releases/air-canada-celebrates-summer-by-offering-aeroplan-members-access-to-video-content-from-canadian-partners-884315329.html,Air Canada Celebrates Summer by Offering Aeroplan Members Access to Video Content from Canadian Partners,"Jun 22, 2020, 15:38 ET",884315329.txt
12,12,Air Canada to Host Virtual Ann,https://www.newswire.ca/news-releases/air-canada-to-host-virtual-annual-shareholder-meeting-on-june-25-2020-836810643.html,"Air Canada to Host Virtual Annual Shareholder Meeting on June 25, 2020","Jun 15, 2020, 10:08 ET",836810643.txt
13,13,Air Canada Deputy Chief Execut,https://www.newswire.ca/news-releases/air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-national-bank-financial-10th-annual-quebec-conference-virtual--831660608.html,Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer Michael Rousseau will Participate in a Fireside Chat at the National Bank Financial 10th Annual Quebec Conference (virtual),"Jun 09, 2020, 14:24 ET",831660608.txt
14,14,Air Canada Announces Closing o,https://www.newswire.ca/news-releases/air-canada-announces-closing-of-offering-of-shares-and-convertible-senior-notes-raising-gross-proceeds-of-nearly-c-1-6b-812920478.html,"Air Canada Announces Closing of Offering of Shares and Convertible Senior Notes, Raising Gross Proceeds of Nearly C$1.6B","Jun 02, 2020, 09:33 ET",812920478.txt
15,15,Air Canada Announces Pricing o,https://www.newswire.ca/news-releases/air-canada-announces-pricing-of-offering-of-shares-and-convertible-senior-notes-886686701.html,Air Canada Announces Pricing of Offering of Shares and Convertible Senior Notes,"May 28, 2020, 08:01 ET",886686701.txt
16,16,Air Canada Announces Offering ,https://www.newswire.ca/news-releases/air-canada-announces-offering-of-shares-and-convertible-senior-notes-810206492.html,Air Canada Announces Offering of Shares and Convertible Senior Notes,"May 26, 2020, 16:17 ET",810206492.txt
17,17,Air Canada Announces New Sched,https://www.newswire.ca/news-releases/air-canada-announces-new-schedule-offering-customers-wide-choice-of-destinations-for-safe-travel-this-summer-and-expands-goodwill-policy-830478544.html,Air Canada Announces New Schedule Offering Customers Wide Choice of Destinations for Safe Travel this Summer and Expands Goodwill Policy,"May 22, 2020, 13:30 ET",830478544.txt
18,18,Advisory - Air Canada Deputy C,https://www.newswire.ca/news-releases/advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-wolfe-research-global-transportation-amp-industrials-virtual-conference-857005307.html,Advisory - Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer Michael Rousseau will Participate in a Fireside Chat at the Wolfe Research Global Transportation &amp; Industrials Virtual Conference,"May 14, 2020, 14:48 ET",857005307.txt
19,19,Air Canada offers Customers a ,https://www.newswire.ca/news-releases/air-canada-offers-customers-a-sneak-peek-at-improvements-coming-with-the-new-aeroplan-program-848341320.html,Air Canada offers Customers a Sneak Peek at Improvements Coming with the New Aeroplan Program,"May 07, 2020, 12:34 ET",848341320.txt
20,20,Advisory - Air Canada Senior V,https://www.newswire.ca/news-releases/advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-take-part-in-a-fireside-chat-at-the-virtual-rbc-capital-markets-canadian-automotive-industrials-amp-transportation-conference-849968623.html,"Advisory - Air Canada Senior Vice President, Finance, Amos Kazzaz, will take part in a fireside chat at the Virtual RBC Capital Markets Canadian Automotive, Industrials &amp; Transportation Conference","May 06, 2020, 09:00 ET",849968623.txt
21,21,Air Canada Announces Renewal o,https://www.newswire.ca/news-releases/air-canada-announces-renewal-of-shareholder-rights-plan-803229084.html,Air Canada Announces Renewal of Shareholder Rights Plan,"May 04, 2020, 16:00 ET",803229084.txt
22,22,Air Canada CleanCare+ Program ,https://www.newswire.ca/news-releases/air-canada-cleancare-program-introduces-new-personal-safety-and-sanitary-measures-to-give-customers-added-assurance-898264391.html,Air Canada CleanCare+ Program Introduces New Personal Safety and Sanitary Measures to Give Customers Added Assurance,"May 04, 2020, 10:00 ET",898264391.txt
23,23,Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2020-results-828228130.html,Air Canada Reports First Quarter 2020 Results,"May 04, 2020, 06:00 ET",828228130.txt
24,24,Jazz Aviation and Air Canada C,https://www.newswire.ca/news-releases/jazz-aviation-and-air-canada-cargo-to-be-first-to-operate-routes-with-dash-8-400-aircraft-simplified-package-freighter-developed-by-de-havilland-canada-862056400.html,Jazz Aviation and Air Canada Cargo to be First to Operate Routes with Dash 8-400 Aircraft Simplified Package Freighter Developed by De Havilland Canada,"Apr 24, 2020, 07:00 ET",862056400.txt
25,25,Air Canada to Temporarily Susp,https://www.newswire.ca/news-releases/air-canada-to-temporarily-suspend-transborder-u-s-flights-874178532.html,Air Canada to Temporarily Suspend Transborder U.S. Flights,"Apr 21, 2020, 12:25 ET",874178532.txt
26,26,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-first-quarter-2020-results-835211778.html,Media Advisory - Air Canada to Present First Quarter 2020 Results,"Apr 21, 2020, 09:00 ET",835211778.txt
27,27,Air Canada Proudly Brings Thou,https://www.newswire.ca/news-releases/air-canada-proudly-brings-thousands-of-canadians-home-807478377.html,Air Canada Proudly Brings Thousands of Canadians Home,"Apr 20, 2020, 06:00 ET",807478377.txt
28,28,Air Canada Customers Required ,https://www.newswire.ca/news-releases/air-canada-customers-required-to-have-protective-face-coverings-as-additional-safeguard-851155227.html,Air Canada Customers Required to Have Protective Face Coverings as Additional Safeguard,"Apr 17, 2020, 17:34 ET",851155227.txt
29,29,Air Canada Reconfigures Passen,https://www.newswire.ca/news-releases/air-canada-reconfigures-passenger-cabins-on-three-aircraft-to-transport-more-vital-supplies-and-necessary-cargo-861868258.html,Air Canada Reconfigures Passenger Cabins on Three Aircraft to Transport More Vital Supplies and Necessary Cargo,"Apr 11, 2020, 08:00 ET",861868258.txt
30,30,Air Canada Announces Intention,https://www.newswire.ca/news-releases/air-canada-announces-intention-to-adopt-the-canada-emergency-wage-subsidy-for-the-benefit-of-its-36-000-canadian-based-employee-workforce-877854888.html,"Air Canada Announces Intention to Adopt the Canada Emergency Wage Subsidy for the Benefit of its 36,000 Canadian-based Employee Workforce","Apr 08, 2020, 08:36 ET",877854888.txt
31,31,Air Canada Provides Update in ,https://www.newswire.ca/news-releases/air-canada-provides-update-in-response-to-covid-19-831116675.html,Air Canada Provides Update in Response to Covid-19,"Mar 30, 2020, 16:25 ET",831116675.txt
32,32,UPDATE - Canadians Continue to,https://www.newswire.ca/news-releases/update-canadians-continue-to-fly-back-home-with-air-canada-878999395.html,UPDATE - Canadians Continue to Fly Back Home With Air Canada,"Mar 28, 2020, 12:02 ET",878999395.txt
33,34,Air Canada and Air Canada Foun,https://www.newswire.ca/news-releases/air-canada-and-air-canada-foundation-work-with-second-harvest-to-redistribute-onboard-fresh-food-items-to-canadians-in-need-889210132.html,Air Canada and Air Canada Foundation Work with Second Harvest to Redistribute Onboard Fresh Food Items to Canadians in Need,"Mar 26, 2020, 14:52 ET",889210132.txt
34,35,Air Canada Begins Operating Ca,https://www.newswire.ca/news-releases/air-canada-begins-operating-cargo-only-flights-carrying-vital-supplies-necessary-goods-826789173.html,"Air Canada Begins Operating Cargo-only Flights Carrying Vital Supplies, Necessary Goods","Mar 25, 2020, 10:04 ET",826789173.txt
35,36,Air Canada to Operate Two More,https://www.newswire.ca/news-releases/air-canada-to-operate-two-more-flights-from-quito-to-bring-more-canadians-home-861084476.html,Air Canada to Operate Two More Flights from Quito to Bring More Canadians Home,"Mar 24, 2020, 20:26 ET",861084476.txt
36,37,Air Canada Will Operate Six Sp,https://www.newswire.ca/news-releases/air-canada-will-operate-six-special-flights-as-repatriation-efforts-continue-881856903.html,Air Canada Will Operate Six Special Flights as Repatriation Efforts Continue,"Mar 23, 2020, 13:33 ET",881856903.txt
37,38,Air Canada Continues to Bring ,https://www.newswire.ca/news-releases/air-canada-continues-to-bring-canadians-back-home-857462369.html,Air Canada Continues to Bring Canadians Back Home,"Mar 22, 2020, 14:54 ET",857462369.txt
38,39,Air Canada to Operate Special ,https://www.newswire.ca/news-releases/air-canada-to-operate-special-flight-from-morocco-to-bring-canadians-home-898208266.html,Air Canada to Operate Special Flight from Morocco to Bring Canadians Home,"Mar 20, 2020, 16:55 ET",898208266.txt
39,40,Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-ongoing-covid-19-response-813500065.html,Air Canada Provides Update on Ongoing COVID-19 Response,"Mar 18, 2020, 17:45 ET",813500065.txt
40,41,Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-response-to-covid-19-880139839.html,Air Canada Provides Update on Response to COVID-19,"Mar 16, 2020, 11:53 ET",880139839.txt
41,42,Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canada-s-best-diversity-employers-for-the-fifth-consecutive-year-845824523.html,Air Canada Named One of Canada's Best Diversity Employers for The Fifth Consecutive Year,"Mar 09, 2020, 08:00 ET",845824523.txt
42,43,Air Canada Salutes Achievement,https://www.newswire.ca/news-releases/air-canada-salutes-achievements-of-present-and-next-generation-of-women-in-aviation-804223431.html,Air Canada Salutes Achievements of Present and Next Generation of Women in Aviation,"Mar 06, 2020, 06:00 ET",804223431.txt
43,44,"Air Canada to Launch Daily, Ye",https://www.newswire.ca/news-releases/air-canada-to-launch-daily-year-round-flights-from-vancouver-to-orange-county-santa-ana-california-860564475.html,"Air Canada to Launch Daily, Year-Round Flights from Vancouver to Orange County (Santa Ana), California","Mar 03, 2020, 09:00 ET",860564475.txt
44,45,Air Canada announces establish,https://www.newswire.ca/news-releases/air-canada-announces-establishment-of-airframe-maintenance-centres-of-excellence-with-aar-in-trois-rivieres-and-avianor-in-mirabel-819232970.html,Air Canada announces establishment of Airframe Maintenance Centres of Excellence with AAR in Trois-Rivières and Avianor in Mirabel,"Feb 24, 2020, 10:31 ET",819232970.txt
45,46,Air Canada Reports 2019 Annual,https://www.newswire.ca/news-releases/air-canada-reports-2019-annual-results-856173233.html,Air Canada Reports 2019 Annual Results,"Feb 18, 2020, 06:00 ET",856173233.txt
46,47,Air Canada to offer Customers ,https://www.newswire.ca/news-releases/air-canada-to-offer-customers-the-convenience-of-paypal-for-purchasing-tickets-in-canada-819306208.html,Air Canada to offer Customers the Convenience of PayPal for Purchasing Tickets in Canada,"Feb 06, 2020, 08:00 ET",819306208.txt
47,48,Air Canada Is Named a Top Empl,https://www.newswire.ca/news-releases/air-canada-is-named-a-top-employer-in-montreal-for-the-seventh-consecutive-year-848401800.html,Air Canada Is Named a Top Employer in Montreal for the Seventh Consecutive Year,"Jan 30, 2020, 09:00 ET",848401800.txt
48,49,Air Canada Suspends Flights to,https://www.newswire.ca/news-releases/air-canada-suspends-flights-to-beijing-shanghai-813827197.html,"Air Canada Suspends Flights to Beijing, Shanghai","Jan 29, 2020, 14:50 ET",813827197.txt
49,50,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-fourth-quarter-and-full-year-2019-results-894319054.html,Media Advisory - Air Canada to Present Fourth Quarter and Full Year 2019 Results,"Jan 28, 2020, 09:00 ET",894319054.txt
50,51,Air Canada and Cirque du Solei,https://www.newswire.ca/news-releases/air-canada-and-cirque-du-soleil-announce-international-partnership-852491180.html,Air Canada and Cirque du Soleil announce international partnership,"Jan 23, 2020, 08:00 ET",852491180.txt
51,52,Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-boeing-737-max-operations-890716406.html,Air Canada Provides Update on Boeing 737 MAX Operations,"Jan 22, 2020, 08:44 ET",890716406.txt
52,53,Air Canada Celebrates the Arri,https://www.newswire.ca/news-releases/air-canada-celebrates-the-arrival-of-its-first-airbus-a220-continuing-its-fleet-modernization-program-832002488.html,"Air Canada Celebrates the Arrival of its First Airbus A220, Continuing its Fleet Modernization Program","Jan 15, 2020, 11:40 ET",832002488.txt
53,54,Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-8th-annual-institutional-investor-conference-hosted-by-altacorp-capital-807207292.html,Media Advisory - Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer Michael Rousseau will Participate in a Fireside Chat at the 8th Annual Institutional Investor Conference Hosted by AltaCorp Capital,"Jan 09, 2020, 13:00 ET",807207292.txt
54,55,Air Canada's Calin Rovinescu t,https://www.newswire.ca/news-releases/air-canada-s-calin-rovinescu-to-be-inducted-into-2020-canadian-business-hall-of-fame-882086115.html,Air Canada's Calin Rovinescu to be Inducted Into 2020 Canadian Business Hall of Fame,"Dec 18, 2019, 13:33 ET",882086115.txt
55,56,Air Canada and Dreams Take Fli,https://www.newswire.ca/news-releases/air-canada-and-dreams-take-flight-help-make-magical-memories-for-children-through-once-in-a-lifetime-flights-895035995.html,Air Canada and Dreams Take Flight Help Make Magical Memories for Children Through Once-in-a-Lifetime Flights,"Dec 18, 2019, 07:00 ET",895035995.txt
56,57,Air Canada Completes Installat,https://www.newswire.ca/news-releases/air-canada-completes-installation-of-satellite-connectivity-across-full-air-canada-rouge-fleet-833327140.html,Air Canada Completes Installation of Satellite Connectivity Across Full Air Canada Rouge Fleet,"Dec 17, 2019, 07:00 ET",833327140.txt
57,58,Kia Ora Auckland! Air Canada I,https://www.newswire.ca/news-releases/kia-ora-auckland-air-canada-inaugurates-seasonal-service-from-vancouver-896152234.html,Kia Ora Auckland! Air Canada Inaugurates Seasonal Service From Vancouver,"Dec 13, 2019, 17:17 ET",896152234.txt
58,59,Air Canada Inaugurates the Onl,https://www.newswire.ca/news-releases/air-canada-inaugurates-the-only-non-stop-service-from-montreal-to-sao-paulo-805720960.html,Air Canada Inaugurates the Only Non-Stop Service from Montreal to São Paulo,"Dec 12, 2019, 07:00 ET",805720960.txt
59,60,Air Canada Conjures the Magic ,https://www.newswire.ca/news-releases/air-canada-conjures-the-magic-of-home-with-new-holiday-video-846070715.html,Air Canada Conjures the Magic of Home with New Holiday Video,"Dec 11, 2019, 09:00 ET",846070715.txt
60,61,Air Canada Announces New U.S. ,https://www.newswire.ca/news-releases/air-canada-announces-new-u-s-transborder-routes-and-services-from-montreal-calgary-and-vancouver-next-summer-834721971.html,"Air Canada Announces New U.S. Transborder Routes and Services from Montreal, Calgary and Vancouver next Summer","Dec 10, 2019, 08:00 ET",834721971.txt
61,62,Air Canada Named Best North Am,https://www.newswire.ca/news-releases/air-canada-named-best-north-american-airline-for-international-travel-by-business-traveler-usa-894532470.html,Air Canada Named Best North American Airline for International Travel by Business Traveler USA,"Dec 09, 2019, 08:00 ET",894532470.txt
62,63,Air Canada to Increase Service,https://www.newswire.ca/news-releases/air-canada-to-increase-service-to-paris-from-montreal-and-toronto-for-summer-2020-820745703.html,Air Canada to Increase Service to Paris From Montreal and Toronto for Summer 2020,"Dec 03, 2019, 06:00 ET",820745703.txt
63,64,Air Canada Named 2019 Airline ,https://www.newswire.ca/news-releases/air-canada-named-2019-airline-of-the-year-by-global-traveler-863014568.html,Air Canada Named 2019 Airline of The Year by Global Traveler,"Dec 02, 2019, 08:00 ET",863014568.txt
64,65,Air Canada's Calin Rovinescu N,https://www.newswire.ca/news-releases/air-canada-s-calin-rovinescu-named-ceo-of-the-year-for-second-time-by-globe-and-mail-s-report-on-business-825321687.html,Air Canada's Calin Rovinescu Named CEO of the Year for second time by Globe and Mail's Report on Business,"Nov 26, 2019, 13:29 ET",825321687.txt
65,66,Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canada-s-top-100-employers-for-the-seventh-consecutive-year-840648940.html,Air Canada Named One of Canada's Top 100 Employers for the Seventh Consecutive Year,"Nov 22, 2019, 09:00 ET",840648940.txt
66,67,Air Canada Congratulates Senio,https://www.newswire.ca/news-releases/air-canada-congratulates-senior-vice-president-arielle-meloul-wechsler-on-being-named-one-of-canada-s-top-100-most-powerful-women-843733071.html,Air Canada Congratulates Senior Vice President Arielle Meloul-Wechsler on being named one of Canada's Top 100 Most Powerful Women,"Nov 21, 2019, 09:00 ET",843733071.txt
67,68,All-New Air Canada App Feature,https://www.newswire.ca/news-releases/all-new-air-canada-app-features-intuitive-design-faster-experience-and-additional-features-870981886.html,"All-New Air Canada App Features Intuitive Design, Faster Experience and Additional Features","Nov 15, 2019, 15:40 ET",870981886.txt
68,69,Media Advisory - Air Canada's ,https://www.newswire.ca/news-releases/media-advisory-air-canada-s-senior-vice-president-finance-amos-kazzaz-to-participate-in-a-fireside-chat-at-the-scotiabank-transportation-amp-industrials-conference-844890220.html,"Media Advisory - Air Canada's Senior Vice President, Finance, Amos Kazzaz, to Participate in a Fireside Chat at the Scotiabank Transportation &amp; Industrials Conference","Nov 13, 2019, 11:42 ET",844890220.txt
69,70,Air Canada Reports Third Quart,https://www.newswire.ca/news-releases/air-canada-reports-third-quarter-2019-results-848344321.html,Air Canada Reports Third Quarter 2019 Results,"Oct 29, 2019, 06:00 ET",848344321.txt
70,71,Air Canada Announces Canada's ,https://www.newswire.ca/news-releases/air-canada-announces-canada-s-top-10-best-new-restaurants-2019-836395228.html,Air Canada Announces Canada's Top 10 Best New Restaurants 2019,"Oct 23, 2019, 20:00 ET",836395228.txt
71,72,Air Canada Announces Ratificat,https://www.newswire.ca/news-releases/air-canada-announces-ratification-of-new-10-year-collective-agreement-by-us-employees-842262477.html,Air Canada Announces Ratification of New 10-Year Collective Agreement by US Employees,"Oct 23, 2019, 16:37 ET",842262477.txt
72,73,Air Canada President and Chief,https://www.newswire.ca/news-releases/air-canada-president-and-chief-executive-calin-rovinescu-named-strategist-of-the-year-and-one-of-canada-s-top-ceos-of-the-year-by-globe-and-mail-s-report-on-business-840607260.html,Air Canada President and Chief Executive Calin Rovinescu Named Strategist of the Year and One of Canada's Top CEOs of the Year by Globe and Mail's Report on Business,"Oct 16, 2019, 17:04 ET",840607260.txt
73,74,Air Canada Updates Schedule Th,https://www.newswire.ca/news-releases/air-canada-updates-schedule-through-to-february-14-2020-in-response-to-ongoing-grounding-of-boeing-737-max-aircraft-851833504.html,"Air Canada Updates Schedule Through to February 14, 2020 in Response to Ongoing Grounding of Boeing 737 MAX Aircraft","Oct 16, 2019, 14:53 ET",851833504.txt
74,75,Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-third-quarter-2019-results-842088650.html,Media Advisory - Air Canada to Present Third Quarter 2019 Results,"Oct 10, 2019, 08:00 ET",842088650.txt
75,76,4ocean's First Canadian Commun,https://www.newswire.ca/news-releases/4ocean-s-first-canadian-community-shoreline-cleanup-powered-by-air-canada-collect-more-than-3-200-pieces-of-ocean-polluting-items-880888960.html,"4ocean's First Canadian Community Shoreline Cleanup Powered by Air Canada Collect More Than 3,200 Pieces of Ocean Polluting Items","Oct 08, 2019, 14:45 ET",880888960.txt
76,77,Air Canada Fan Flight Returns ,https://www.newswire.ca/news-releases/air-canada-fan-flight-returns-for-2019-2020-nhl-season-831682644.html,Air Canada Fan Flight Returns for 2019/2020 NHL Season,"Oct 02, 2019, 09:00 ET",831682644.txt
77,78,Air Canada Honours Trailblazin,https://www.newswire.ca/news-releases/air-canada-honours-trailblazing-captain-judy-cameron-with-scholarship-for-young-women-pursuing-careers-in-aviation-817334346.html,Air Canada Honours Trailblazing Captain Judy Cameron With Scholarship For Young Women Pursuing Careers In Aviation,"Sep 30, 2019, 09:00 ET",817334346.txt
78,79,Air Canada Featured in Inaugur,https://www.newswire.ca/news-releases/air-canada-featured-in-inaugural-tsx30-list-recognizing-canada-s-top-performing-stocks-894195365.html,Air Canada Featured in Inaugural TSX30 List Recognizing Canada's Top Performing Stocks,"Sep 26, 2019, 11:55 ET",894195365.txt
79,80,4ocean's First Canadian Commun,https://www.newswire.ca/news-releases/4ocean-s-first-canadian-community-shoreline-cleanup-powered-by-air-canada-collect-more-than-3-200-pieces-of-ocean-polluting-items-851514826.html,"4ocean's First Canadian Community Shoreline Cleanup Powered by Air Canada Collect More Than 3,200 Pieces of Ocean Polluting Items","Sep 25, 2019, 08:49 ET",851514826.txt
80,81,Air Canada Named Best Family-F,https://www.newswire.ca/news-releases/air-canada-named-best-family-friendly-airline-in-north-america-and-best-family-friendly-frequent-flyer-program-at-the-wherever-awards-876188344.html,Air Canada Named Best Family-Friendly Airline in North America and Best Family-Friendly Frequent-Flyer Program at the Wherever Awards,"Sep 24, 2019, 10:52 ET",876188344.txt
81,82,Media Advisory - Air Canada's ,https://www.newswire.ca/news-releases/media-advisory-air-canada-s-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-to-participate-in-a-fireside-chat-at-the-cibc-s-18th-annual-eastern-institutional-investor-conference-817926340.html,"Media Advisory - Air Canada's Deputy Chief Executive Officer &amp; Chief Financial Officer, Michael Rousseau, to Participate in a Fireside Chat at the CIBC's 18th Annual Eastern Institutional Investor Conference","Sep 24, 2019, 09:58 ET",817926340.txt
82,83,Public Invited to Join in 4oce,https://www.newswire.ca/news-releases/public-invited-to-join-in-4ocean-canadian-shoreline-clean-up-powered-by-air-canada-and-say-bonvoyageplastic-884074166.html,Public Invited to Join in 4ocean Canadian Shoreline Clean-up Powered by Air Canada and Say #bonvoyageplastic,"Sep 19, 2019, 12:11 ET",884074166.txt
83,84,Air Canada To Begin Year-Round,https://www.newswire.ca/news-releases/air-canada-to-begin-year-round-flights-from-montreal-to-bogota-colombia-898595908.html,"Air Canada To Begin Year-Round Flights From Montreal to Bogotá, Colombia","Sep 18, 2019, 08:00 ET",898595908.txt
84,85,Air Canada to Launch Dreamline,https://www.newswire.ca/news-releases/air-canada-to-launch-dreamliner-service-from-ottawa-to-london-heathrow-876775733.html,Air Canada to Launch Dreamliner Service from Ottawa to London-Heathrow,"Sep 10, 2019, 15:21 ET",876775733.txt
85,86,Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-7th-annual-laguna-conference-hosted-by-morgan-stanley-801178157.html,"Media Advisory - Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer, Michael Rousseau, will participate in a fireside chat at the 7th Annual Laguna Conference hosted by Morgan Stanley","Sep 09, 2019, 08:00 ET",801178157.txt
86,87,The Air Canada Café Opens at T,https://www.newswire.ca/news-releases/the-air-canada-cafe-opens-at-toronto-pearson-providing-customers-an-eye-opening-airport-coffee-experience-849418147.html,"The Air Canada Café Opens at Toronto Pearson, Providing Customers an Eye-Opening Airport Coffee Experience","Sep 05, 2019, 11:00 ET",849418147.txt
87,88,Air Canada To Launch Flights f,https://www.newswire.ca/news-releases/air-canada-to-launch-flights-from-toronto-to-belgium-s-capital-889662890.html,Air Canada To Launch Flights from Toronto to Belgium's Capital,"Sep 04, 2019, 07:00 ET",889662890.txt
88,89,Superior Court of Quebec Appro,https://www.newswire.ca/news-releases/superior-court-of-quebec-approves-plan-of-arrangement-for-air-canada-and-transat-a-t-inc-combination-813452417.html,Superior Court of Quebec Approves Plan of Arrangement for Air Canada and Transat A.T. Inc. Combination,"Aug 29, 2019, 08:27 ET",813452417.txt
89,90,Air Canada To Launch Year-Roun,https://www.newswire.ca/news-releases/air-canada-to-launch-year-round-montreal-toulouse-service-826985203.html,Air Canada To Launch Year-Round Montreal-Toulouse Service,"Aug 28, 2019, 07:00 ET",826985203.txt
90,91,Air Canada Welcomes Transat Sh,https://www.newswire.ca/news-releases/air-canada-welcomes-transat-shareholders-approval-896621178.html,Air Canada Welcomes Transat Shareholders Approval,"Aug 23, 2019, 13:25 ET",896621178.txt
91,92,Air Canada Celebrates Aeroplan,https://www.newswire.ca/news-releases/air-canada-celebrates-aeroplan-s-35th-anniversary-with-biggest-contest-ever-allowing-members-to-win-more-than-35-million-miles-896305357.html,"Air Canada Celebrates Aeroplan's 35th Anniversary with Biggest Contest Ever, Allowing Members to Win more than 35 Million Miles","Aug 22, 2019, 10:00 ET",896305357.txt
92,93,Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-cowen-12th-annual-global-transportation-conference-836190440.html,"Media Advisory - Air Canada Deputy Chief Executive Officer &amp; Chief Financial Officer, Michael Rousseau, will participate in a fireside chat at the Cowen 12th Annual Global Transportation Conference","Aug 21, 2019, 08:00 ET",836190440.txt
