Titr,URL,title,Date,text_file
Air Canada CleanCare+ Program ,https://www.newswire.ca/news-releases/air-canada-cleancare-program-introduces-new-personal-safety-and-sanitary-measures-to-give-customers-added-assurance-898264391.html,Air Canada CleanCare+ Program Introduces New Personal Safety and Sanitary Measures to Give Customers Added Assurance,"May 04, 2020, 10:00 ET",898264391.txt
Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-2020-results-828228130.html,Air Canada Reports First Quarter 2020 Results,"May 04, 2020, 06:00 ET",828228130.txt
Jazz Aviation and Air Canada C,https://www.newswire.ca/news-releases/jazz-aviation-and-air-canada-cargo-to-be-first-to-operate-routes-with-dash-8-400-aircraft-simplified-package-freighter-developed-by-de-havilland-canada-862056400.html,Jazz Aviation and Air Canada Cargo to be First to Operate Routes with Dash 8-400 Aircraft Simplified Package Freighter Developed by De Havilland Canada,"Apr 24, 2020, 07:00 ET",862056400.txt
Air Canada to Temporarily Susp,https://www.newswire.ca/news-releases/air-canada-to-temporarily-suspend-transborder-u-s-flights-874178532.html,Air Canada to Temporarily Suspend Transborder U.S. Flights,"Apr 21, 2020, 12:25 ET",874178532.txt
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-first-quarter-2020-results-835211778.html,Media Advisory - Air Canada to Present First Quarter 2020 Results,"Apr 21, 2020, 09:00 ET",835211778.txt
Air Canada Proudly Brings Thou,https://www.newswire.ca/news-releases/air-canada-proudly-brings-thousands-of-canadians-home-807478377.html,Air Canada Proudly Brings Thousands of Canadians Home,"Apr 20, 2020, 06:00 ET",807478377.txt
Air Canada Customers Required ,https://www.newswire.ca/news-releases/air-canada-customers-required-to-have-protective-face-coverings-as-additional-safeguard-851155227.html,Air Canada Customers Required to Have Protective Face Coverings as Additional Safeguard,"Apr 17, 2020, 17:34 ET",851155227.txt
Air Canada Reconfigures Passen,https://www.newswire.ca/news-releases/air-canada-reconfigures-passenger-cabins-on-three-aircraft-to-transport-more-vital-supplies-and-necessary-cargo-861868258.html,Air Canada Reconfigures Passenger Cabins on Three Aircraft to Transport More Vital Supplies and Necessary Cargo,"Apr 11, 2020, 08:00 ET",861868258.txt
Air Canada Announces Intention,https://www.newswire.ca/news-releases/air-canada-announces-intention-to-adopt-the-canada-emergency-wage-subsidy-for-the-benefit-of-its-36-000-canadian-based-employee-workforce-877854888.html,"Air Canada Announces Intention to Adopt the Canada Emergency Wage Subsidy for the Benefit of its 36,000 Canadian-based Employee Workforce","Apr 08, 2020, 08:36 ET",877854888.txt
Air Canada Provides Update in ,https://www.newswire.ca/news-releases/air-canada-provides-update-in-response-to-covid-19-831116675.html,Air Canada Provides Update in Response to Covid-19,"Mar 30, 2020, 16:25 ET",831116675.txt
UPDATE - Canadians Continue to,https://www.newswire.ca/news-releases/update-canadians-continue-to-fly-back-home-with-air-canada-878999395.html,UPDATE - Canadians Continue to Fly Back Home With Air Canada,"Mar 28, 2020, 12:02 ET",878999395.txt
Canadians Continue to Fly Back,https://www.newswire.ca/news-releases/canadians-continue-to-fly-back-home-with-air-canada-848894218.html,,,
Air Canada and Air Canada Foun,https://www.newswire.ca/news-releases/air-canada-and-air-canada-foundation-work-with-second-harvest-to-redistribute-onboard-fresh-food-items-to-canadians-in-need-889210132.html,,,
Air Canada Begins Operating Ca,https://www.newswire.ca/news-releases/air-canada-begins-operating-cargo-only-flights-carrying-vital-supplies-necessary-goods-826789173.html,,,
Air Canada to Operate Two More,https://www.newswire.ca/news-releases/air-canada-to-operate-two-more-flights-from-quito-to-bring-more-canadians-home-861084476.html,,,
Air Canada Will Operate Six Sp,https://www.newswire.ca/news-releases/air-canada-will-operate-six-special-flights-as-repatriation-efforts-continue-881856903.html,,,
Air Canada Continues to Bring ,https://www.newswire.ca/news-releases/air-canada-continues-to-bring-canadians-back-home-857462369.html,,,
Air Canada to Operate Special ,https://www.newswire.ca/news-releases/air-canada-to-operate-special-flight-from-morocco-to-bring-canadians-home-898208266.html,,,
Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-ongoing-covid-19-response-813500065.html,,,
Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-response-to-covid-19-880139839.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canada-s-best-diversity-employers-for-the-fifth-consecutive-year-845824523.html,,,
Air Canada Salutes Achievement,https://www.newswire.ca/news-releases/air-canada-salutes-achievements-of-present-and-next-generation-of-women-in-aviation-804223431.html,,,
"Air Canada to Launch Daily, Ye",https://www.newswire.ca/news-releases/air-canada-to-launch-daily-year-round-flights-from-vancouver-to-orange-county-santa-ana-california-860564475.html,,,
Air Canada announces establish,https://www.newswire.ca/news-releases/air-canada-announces-establishment-of-airframe-maintenance-centres-of-excellence-with-aar-in-trois-rivieres-and-avianor-in-mirabel-819232970.html,,,
Air Canada Reports 2019 Annual,https://www.newswire.ca/news-releases/air-canada-reports-2019-annual-results-856173233.html,,,
Air Canada to offer Customers ,https://www.newswire.ca/news-releases/air-canada-to-offer-customers-the-convenience-of-paypal-for-purchasing-tickets-in-canada-819306208.html,,,
Air Canada Is Named a Top Empl,https://www.newswire.ca/news-releases/air-canada-is-named-a-top-employer-in-montreal-for-the-seventh-consecutive-year-848401800.html,,,
Air Canada Suspends Flights to,https://www.newswire.ca/news-releases/air-canada-suspends-flights-to-beijing-shanghai-813827197.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-fourth-quarter-and-full-year-2019-results-894319054.html,,,
Air Canada and Cirque du Solei,https://www.newswire.ca/news-releases/air-canada-and-cirque-du-soleil-announce-international-partnership-852491180.html,,,
Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-boeing-737-max-operations-890716406.html,,,
Air Canada Celebrates the Arri,https://www.newswire.ca/news-releases/air-canada-celebrates-the-arrival-of-its-first-airbus-a220-continuing-its-fleet-modernization-program-832002488.html,,,
Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-8th-annual-institutional-investor-conference-hosted-by-altacorp-capital-807207292.html,,,
Air Canada's Calin Rovinescu t,https://www.newswire.ca/news-releases/air-canada-s-calin-rovinescu-to-be-inducted-into-2020-canadian-business-hall-of-fame-882086115.html,,,
Air Canada and Dreams Take Fli,https://www.newswire.ca/news-releases/air-canada-and-dreams-take-flight-help-make-magical-memories-for-children-through-once-in-a-lifetime-flights-895035995.html,,,
Air Canada Completes Installat,https://www.newswire.ca/news-releases/air-canada-completes-installation-of-satellite-connectivity-across-full-air-canada-rouge-fleet-833327140.html,,,
Kia Ora Auckland! Air Canada I,https://www.newswire.ca/news-releases/kia-ora-auckland-air-canada-inaugurates-seasonal-service-from-vancouver-896152234.html,,,
Air Canada Inaugurates the Onl,https://www.newswire.ca/news-releases/air-canada-inaugurates-the-only-non-stop-service-from-montreal-to-sao-paulo-805720960.html,,,
Air Canada Conjures the Magic ,https://www.newswire.ca/news-releases/air-canada-conjures-the-magic-of-home-with-new-holiday-video-846070715.html,,,
Air Canada Announces New U.S. ,https://www.newswire.ca/news-releases/air-canada-announces-new-u-s-transborder-routes-and-services-from-montreal-calgary-and-vancouver-next-summer-834721971.html,,,
Air Canada Named Best North Am,https://www.newswire.ca/news-releases/air-canada-named-best-north-american-airline-for-international-travel-by-business-traveler-usa-894532470.html,,,
Air Canada to Increase Service,https://www.newswire.ca/news-releases/air-canada-to-increase-service-to-paris-from-montreal-and-toronto-for-summer-2020-820745703.html,,,
Air Canada Named 2019 Airline ,https://www.newswire.ca/news-releases/air-canada-named-2019-airline-of-the-year-by-global-traveler-863014568.html,,,
Air Canada's Calin Rovinescu N,https://www.newswire.ca/news-releases/air-canada-s-calin-rovinescu-named-ceo-of-the-year-for-second-time-by-globe-and-mail-s-report-on-business-825321687.html,,,
Air Canada Named One of Canada,https://www.newswire.ca/news-releases/air-canada-named-one-of-canada-s-top-100-employers-for-the-seventh-consecutive-year-840648940.html,,,
Air Canada Congratulates Senio,https://www.newswire.ca/news-releases/air-canada-congratulates-senior-vice-president-arielle-meloul-wechsler-on-being-named-one-of-canada-s-top-100-most-powerful-women-843733071.html,,,
All-New Air Canada App Feature,https://www.newswire.ca/news-releases/all-new-air-canada-app-features-intuitive-design-faster-experience-and-additional-features-870981886.html,,,
Media Advisory - Air Canada's ,https://www.newswire.ca/news-releases/media-advisory-air-canada-s-senior-vice-president-finance-amos-kazzaz-to-participate-in-a-fireside-chat-at-the-scotiabank-transportation-amp-industrials-conference-844890220.html,,,
Air Canada Reports Third Quart,https://www.newswire.ca/news-releases/air-canada-reports-third-quarter-2019-results-848344321.html,,,
Air Canada Announces Canada's ,https://www.newswire.ca/news-releases/air-canada-announces-canada-s-top-10-best-new-restaurants-2019-836395228.html,,,
Air Canada Announces Ratificat,https://www.newswire.ca/news-releases/air-canada-announces-ratification-of-new-10-year-collective-agreement-by-us-employees-842262477.html,,,
Air Canada President and Chief,https://www.newswire.ca/news-releases/air-canada-president-and-chief-executive-calin-rovinescu-named-strategist-of-the-year-and-one-of-canada-s-top-ceos-of-the-year-by-globe-and-mail-s-report-on-business-840607260.html,,,
Air Canada Updates Schedule Th,https://www.newswire.ca/news-releases/air-canada-updates-schedule-through-to-february-14-2020-in-response-to-ongoing-grounding-of-boeing-737-max-aircraft-851833504.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-third-quarter-2019-results-842088650.html,,,
4ocean's First Canadian Commun,https://www.newswire.ca/news-releases/4ocean-s-first-canadian-community-shoreline-cleanup-powered-by-air-canada-collect-more-than-3-200-pieces-of-ocean-polluting-items-880888960.html,,,
Air Canada Fan Flight Returns ,https://www.newswire.ca/news-releases/air-canada-fan-flight-returns-for-2019-2020-nhl-season-831682644.html,,,
Air Canada Honours Trailblazin,https://www.newswire.ca/news-releases/air-canada-honours-trailblazing-captain-judy-cameron-with-scholarship-for-young-women-pursuing-careers-in-aviation-817334346.html,,,
Air Canada Featured in Inaugur,https://www.newswire.ca/news-releases/air-canada-featured-in-inaugural-tsx30-list-recognizing-canada-s-top-performing-stocks-894195365.html,,,
4ocean's First Canadian Commun,https://www.newswire.ca/news-releases/4ocean-s-first-canadian-community-shoreline-cleanup-powered-by-air-canada-collect-more-than-3-200-pieces-of-ocean-polluting-items-851514826.html,,,
Air Canada Named Best Family-F,https://www.newswire.ca/news-releases/air-canada-named-best-family-friendly-airline-in-north-america-and-best-family-friendly-frequent-flyer-program-at-the-wherever-awards-876188344.html,,,
Media Advisory - Air Canada's ,https://www.newswire.ca/news-releases/media-advisory-air-canada-s-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-to-participate-in-a-fireside-chat-at-the-cibc-s-18th-annual-eastern-institutional-investor-conference-817926340.html,,,
Public Invited to Join in 4oce,https://www.newswire.ca/news-releases/public-invited-to-join-in-4ocean-canadian-shoreline-clean-up-powered-by-air-canada-and-say-bonvoyageplastic-884074166.html,,,
Air Canada To Begin Year-Round,https://www.newswire.ca/news-releases/air-canada-to-begin-year-round-flights-from-montreal-to-bogota-colombia-898595908.html,,,
Air Canada to Launch Dreamline,https://www.newswire.ca/news-releases/air-canada-to-launch-dreamliner-service-from-ottawa-to-london-heathrow-876775733.html,,,
Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-7th-annual-laguna-conference-hosted-by-morgan-stanley-801178157.html,,,
The Air Canada Café Opens at T,https://www.newswire.ca/news-releases/the-air-canada-cafe-opens-at-toronto-pearson-providing-customers-an-eye-opening-airport-coffee-experience-849418147.html,,,
Air Canada To Launch Flights f,https://www.newswire.ca/news-releases/air-canada-to-launch-flights-from-toronto-to-belgium-s-capital-889662890.html,,,
Superior Court of Quebec Appro,https://www.newswire.ca/news-releases/superior-court-of-quebec-approves-plan-of-arrangement-for-air-canada-and-transat-a-t-inc-combination-813452417.html,,,
Air Canada To Launch Year-Roun,https://www.newswire.ca/news-releases/air-canada-to-launch-year-round-montreal-toulouse-service-826985203.html,,,
Air Canada Welcomes Transat Sh,https://www.newswire.ca/news-releases/air-canada-welcomes-transat-shareholders-approval-896621178.html,,,
Air Canada Celebrates Aeroplan,https://www.newswire.ca/news-releases/air-canada-celebrates-aeroplan-s-35th-anniversary-with-biggest-contest-ever-allowing-members-to-win-more-than-35-million-miles-896305357.html,,,
Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-cowen-12th-annual-global-transportation-conference-836190440.html,,,
Air Canada Announces First Two,https://www.newswire.ca/news-releases/air-canada-announces-first-two-new-routes-to-be-operated-with-game-changing-airbus-a220-300-860435906.html,,,
Air Canada Announces New Montr,https://www.newswire.ca/news-releases/air-canada-announces-new-montreal-seattle-service-to-be-operated-with-quebec-built-airbus-a220-300-893176682.html,,,
Air Canada and Transat announc,https://www.newswire.ca/news-releases/air-canada-and-transat-announce-increased-purchase-price-to-18-per-share-for-100-of-transat-and-lock-up-and-support-agreement-with-transat-s-largest-shareholder-letko-brosseau-829828418.html,,,
Air Canada Announces Longlist ,https://www.newswire.ca/news-releases/air-canada-announces-longlist-for-canada-s-best-new-restaurants-2019-871211603.html,,,
Air Canada Named Favorite Airl,https://www.newswire.ca/news-releases/air-canada-named-favorite-airline-in-north-america-at-the-2019-the-trazees-awards-833618230.html,,,
Air Canada CEO Sells Block of ,https://www.newswire.ca/news-releases/air-canada-ceo-sells-block-of-shares-for-investment-diversification-estate-planning-and-charitable-giving-821693673.html,,,
Air Canada Makes Family Travel,https://www.newswire.ca/news-releases/air-canada-makes-family-travel-more-fun-for-children-and-easier-for-parents-823331604.html,,,
Air Canada Partners with Award,https://www.newswire.ca/news-releases/air-canada-partners-with-award-winning-canadian-chef-antonio-park-to-expand-meal-options-on-asian-and-south-american-flights-889659284.html,,,
Air Canada Reports Second Quar,https://www.newswire.ca/news-releases/air-canada-reports-second-quarter-2019-results-830808883.html,,,
/R E P E A T -- Media Advisory,https://www.newswire.ca/news-releases/-r-e-p-e-a-t-media-advisory-air-canada-to-present-second-quarter-2019-results--888461846.html,,,
Air Canada To Resume Full Indi,https://www.newswire.ca/news-releases/air-canada-to-resume-full-india-schedule-850864490.html,,,
UPDATE - Media Advisory - Air ,https://www.newswire.ca/news-releases/update-media-advisory-air-canada-to-present-second-quarter-2019-results-867004372.html,,,
Air Canada Named Among the 50 ,https://www.newswire.ca/news-releases/air-canada-named-among-the-50-most-engaged-workplaces-for-fourth-consecutive-time-878348766.html,,,
Fun in the Sun! Air Canada Int,https://www.newswire.ca/news-releases/fun-in-the-sun-air-canada-introduces-winter-service-from-quebec-city-to-cancun-mexico-and-punta-cana-dominican-republic-869743454.html,,,
Air Canada Provides Aeroplan M,https://www.newswire.ca/news-releases/air-canada-provides-aeroplan-members-greater-flexibility-to-manage-flight-reward-bookings-811865622.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-second-quarter-2019-results-835833400.html,,,
Air Canada Wins for Diversity ,https://www.newswire.ca/news-releases/air-canada-wins-for-diversity-in-leadership-at-2019-airline-strategy-awards-888726862.html,,,
Air Canada Foundation Golf Tou,https://www.newswire.ca/news-releases/air-canada-foundation-golf-tournament-nets-record-breaking-amount-for-the-health-and-well-being-of-children-and-youth-in-canada-806679425.html,,,
Air Canada Launches One-of-a-K,https://www.newswire.ca/news-releases/air-canada-launches-one-of-a-kind-pop-up-yycaesar-bar-in-calgary-this-week-822767407.html,,,
Taste The Fine Wine Of The Bor,https://www.newswire.ca/news-releases/taste-the-fine-wine-of-the-bordeaux-region-with-air-canada-s-new-seasonal-service-from-montreal-881597930.html,,,
Air Canada to Launch Daily Non,https://www.newswire.ca/news-releases/air-canada-to-launch-daily-non-stop-year-round-calgary-terrace-service-increases-capacity-on-key-regional-routes-803241414.html,,,
Air Canada Announces Increased,https://www.newswire.ca/news-releases/air-canada-announces-increased-capacity-and-enhanced-services-to-atlantic-canada-810037185.html,,,
Air Canada Relaunches its Awar,https://www.newswire.ca/news-releases/air-canada-relaunches-its-award-winning-enroute-in-flight-magazine-866153612.html,,,
Air Canada Inaugurates service,https://www.newswire.ca/news-releases/air-canada-inaugurates-service-to-sydney-nova-scotia-from-montreal-861783019.html,,,
Air Canada and Transat A.T. In,https://www.newswire.ca/news-releases/air-canada-and-transat-a-t-inc-conclude-definitive-arrangement-agreement-for-combination-of-the-two-companies-811621757.html,,,
Air Canada Congratulates Mark ,https://www.newswire.ca/news-releases/air-canada-congratulates-mark-galardo-vice-president-network-planning-on-being-named-to-canada-s-top-40-under-40-list-872197953.html,,,
Air Canada Proudly Salutes its,https://www.newswire.ca/news-releases/air-canada-proudly-salutes-its-indigenous-employees-on-national-indigenous-peoples-day-897845526.html,,,
Air Canada Enhances its Award-,https://www.newswire.ca/news-releases/air-canada-enhances-its-award-winning-in-flight-entertainment-by-partnering-with-crave-and-stingray-815065821.html,,,
Be Prepared for the Busy Summe,https://www.newswire.ca/news-releases/be-prepared-for-the-busy-summer-travel-season-air-canada-offers-tips-to-make-your-journey-smoother-888042168.html,,,
Air Canada Named Best Airline ,https://www.newswire.ca/news-releases/air-canada-named-best-airline-in-north-america-for-third-straight-year-at-2019-skytrax-world-airline-awards-899829384.html,,,
Air Canada Introduces Maple Le,https://www.newswire.ca/news-releases/air-canada-introduces-maple-leaf-lounge-express-another-convenient-way-to-work-or-relax-before-flying-to-the-u-s-from-toronto-pearson-837312708.html,,,
Air Canada is proud to support,https://www.newswire.ca/news-releases/air-canada-is-proud-to-support-franco-festivals-across-the-country-858049370.html,,,
Air Canada Provides Update on ,https://www.newswire.ca/news-releases/air-canada-provides-update-on-exclusive-agreement-with-transat-a-t-inc-to-pursue-a-combination-of-the-two-companies-827210016.html,,,
Air Canada and Drone Delivery ,https://www.newswire.ca/news-releases/air-canada-and-drone-delivery-canada-corp-announce-a-sales-agency-agreement-818908601.html,,,
Air Canada Inaugurates Daily M,https://www.newswire.ca/news-releases/air-canada-inaugurates-daily-montreal-raleigh-flights-873412090.html,,,
Air Canada Demonstrates Commit,https://www.newswire.ca/news-releases/air-canada-demonstrates-commitment-to-social-responsibility-with-release-of-its-2018-corporate-sustainability-report-801086930.html,,,
Air Canada Renews Normal Cours,https://www.newswire.ca/news-releases/air-canada-renews-normal-course-issuer-bid-and-automatic-share-purchase-plan-841921610.html,,,
Air Canada Rouge Pops Up in To,https://www.newswire.ca/news-releases/air-canada-rouge-pops-up-in-toronto-with-multi-sensory-experience-865730669.html,,,
Gamsahabnida! Air Canada Marks,https://www.newswire.ca/news-releases/gamsahabnida-air-canada-marks-25-years-of-service-to-seoul-south-korea-863484780.html,,,
Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-12th-annual-global-transportation-conference-869731044.html,,,
Air Canada Wins for Best Premi,https://www.newswire.ca/news-releases/air-canada-wins-for-best-premium-economy-class-and-best-airline-for-onboard-entertainment-at-global-traveler-awards-818007676.html,,,
Air Canada enters into Exclusi,https://www.newswire.ca/news-releases/air-canada-enters-into-exclusive-agreement-with-transat-a-t-inc-to-pursue-a-combination-of-the-two-companies-889924857.html,,,
Media Advisory - Air Canada De,https://www.newswire.ca/news-releases/media-advisory-air-canada-deputy-chief-executive-officer-amp-chief-financial-officer-michael-rousseau-will-participate-in-a-fireside-chat-at-the-2019-rbc-capital-markets-canadian-automotive-industrials-amp-transportation-conference-889915479.html,,,
Media Advisory - Air Canada Se,https://www.newswire.ca/news-releases/media-advisory-air-canada-senior-vice-president-finance-amos-kazzaz-will-take-part-in-a-fireside-chat-at-the-bank-of-america-merrill-lynch-2019-transportation-and-industrials-conference-812347707.html,,,
Air Canada Receives Final Cour,https://www.newswire.ca/news-releases/air-canada-receives-final-court-approval-to-increase-permitted-foreign-ownership-levels-to-the-levels-permitted-under-canada-transportation-act-873620966.html,,,
Air Canada Announces Election ,https://www.newswire.ca/news-releases/air-canada-announces-election-of-directors-830484220.html,,,
Air Canada Reports First Quart,https://www.newswire.ca/news-releases/air-canada-reports-first-quarter-results-837193982.html,,,
Air Canada Updates Schedule Th,https://www.newswire.ca/news-releases/air-canada-updates-schedule-through-july-in-response-to-ongoing-grounding-of-boeing-737-max-aircraft-876555232.html,,,
Media Advisory - Air Canada to,https://www.newswire.ca/news-releases/media-advisory-air-canada-to-present-first-quarter-2019-results-835443815.html,,,
Air Canada Marks #Earthday2019,https://www.newswire.ca/news-releases/air-canada-marks-earthday2019-via-new-partnership-with-ocean-clean-up-organization-4ocean-878515692.html,,,
Air Canada's Award-Winning Nor,https://www.newswire.ca/news-releases/air-canada-s-award-winning-north-america-business-class-featured-in-new-multi-media-advertising-campaign-857733218.html,,,
Air Canada Tops North American,https://www.newswire.ca/news-releases/air-canada-tops-north-american-carriers-for-food-service-and-business-class-amenity-kits-in-pax-international-awards-840420315.html,,,
Air Canada's Business Class na,https://www.newswire.ca/news-releases/air-canada-s-business-class-named-top-in-north-america-by-tripadvisor-s-travellers-choice-awards-881122066.html,,,
